Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Aaniiih Nakoda College,8381,7777,7472,MT,1,1,1,1,Aaniiih Nakoda College,-108.757816,48.484196,,,17030,17030,8510,8510,,,17030,17030,8510,8510,,,,,17030,17030,8510,8510,6497,,,17030,17030,8510,8510,,,17030,17030,8510,8510,,,17030,17030,8510,8510,1300,1300,1300,1300,1300,1300,1300,
Abilene Christian University-Undergraduate Online,,,,TX,2,1,1,1,Abilene Christian University-Undergraduate Online,-96.826833,32.977065,,,30670,30670,19042,19042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,,,,
Abraham Baldwin Agricultural College,7744,8106,6823,GA,1,1,1,2,Abraham Baldwin Agricultural College,-83.528281,31.481889,15727,22633,13965,20871,7765,14671,15575,22481,13865,20771,7665,14571,,,15479,22385,13865,20771,7665,14571,8123,15345,22083,13803,20541,7603,14341,15121,21859,13803,20541,7603,14341,15025,21632,14053,20660,7653,14260,1000,900,900,900,900,1000,1000,
Academy College,,,,MN,3,1,1,1,Academy College,-93.299809,44.855722,,,38118,38118,29579,29579,,,38182,38182,29643,29643,23841,,,,37509,37509,28970,28970,,,,36902,36902,28363,28363,,,36902,36902,28363,28363,,,36650,36650,28111,28111,1685,1694,1269,1452,1452,1452,1452,
Academy of Interactive Entertainment,,,,LA,5,2,1,1,Academy of Interactive Entertainment,-92.043315,30.220037,,,36621,36621,27513,27513,,,37522,37522,27142,27142,23807,24970,,,36522,36522,26142,26142,,,,34113,34113,26769,26769,,,31113,31113,23769,23769,,,34580,34580,20550,20550,,,,,,0,0,
Advanced Technology Institute,,,,VA,6,2,1,1,Advanced Technology Institute,-76.182268,36.841381,,,25933,25933,17263,17263,,,25656,25656,16986,16986,18999,19435,,,25656,25656,16986,16986,,,,25656,25656,16986,16986,,,25706,25706,17036,17036,,,25610,25610,17360,17360,480,480,480,480,480,480,450,
Agape College of Business and Science,,,,CA,5,2,1,1,Agape College of Business and Science,-119.787874,36.741252,,,27396,27396,9868,9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,1163,1083,1083,,,,
Aiken Technical College,4033,4362,3525,SC,4,2,1,2,Aiken Technical College,-81.841666,33.533833,,,16956,18530,10206,11780,,,16956,18530,10206,11780,,,,,16836,18530,10086,11780,3411,,,13116,14950,9516,11350,,,13028,15030,8828,10830,,,12308,14234,8708,10634,1500,1500,1500,1000,1000,1000,1000,
Aims Community College,8058,7189,6812,CO,4,2,1,3,Aims Community College,-104.763415,40.409559,,,21446,29102,9574,17230,,,21446,29102,9493,17149,,,,,20134,27790,9493,17149,6216,,,19819,27487,9333,17001,,,19819,27487,9333,17001,,,18055,25723,8929,16597,1475,1475,1475,1475,1475,1475,1475,
Alamance Community College,17040,15521,16225,NC,4,2,1,2,Alamance Community College,-79.357657,36.066683,,,26901,33045,16419,22563,,,32421,38565,16971,23115,,,,,29403,33939,16457,20993,9612,,,26131,31123,17551,22543,,,21128,26120,11411,16403,,,22800,28680,13393,19273,4456,2960,3114,4286,2615,3929,2874,
